,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
475,475,3024508,101 W End Avenue #9H,"['40.77510071,-73.98840332']",3640,1.0,1.0,672.0,40.77510071,-73.98840332,Apartment,3,1,72,6,0,267,-1.3065670719905371,-0.9617818626180654,-0.7874665612910832,-1.2150795427725902,-0.7653006892653381,-0.7460780900128042,3024508
476,476,3024507,316 East 82nd Street #2FW,"['40.77470016,-73.95290375']",2395,1.0,1.0,0.0,40.77470016,-73.95290375,Apartment,13,4,160,84,1,582,-0.35865915598721426,-0.608613002890417,-0.1683922828758431,-0.023223150655132925,-0.6172374752817067,1.0494476754781017,3024507
477,477,3024506,72 Thompson Street #4C,"['40.72430038,-74.00279999']",3478,1.0,1.0,0.0,40.72430038,-74.00279999,Apartment,19,6,220,90,3,396,0.21008559361477946,-0.3731670964053181,0.25370381604363873,0.06845811027697916,-0.32111104731444395,-0.010767538430814136,3024506
478,478,3024505,72 Thompson Street #5E,"['40.72430038,-74.00279999']",4537,1.0,1.0,0.0,40.72430038,-74.00279999,Apartment,19,6,220,90,3,396,0.21008559361477946,-0.3731670964053181,0.25370381604363873,0.06845811027697916,-0.32111104731444395,-0.010767538430814136,3024505
479,479,3024500,300 E. 39th Street #28C,"['40.74739838,-73.97299957']",4716,1.0,1.0,722.0,40.74739838,-73.97299957,Apartment,8,3,171,37,0,443,-0.8326131139888757,-0.7263359561329664,-0.09100799807393808,-0.7413930279566777,-0.7653006892653381,0.2571363059440194,3024500
480,480,3024499,500 West 23rd Street #5D,"['40.74760056,-74.00469971']",6794,2.0,2.0,977.0,40.74760056,-74.00469971,Apartment,7,4,98,27,0,409,-0.9274039055892079,-0.608613002890417,-0.6045582517593077,-0.8941951295101979,-0.7653006892653381,0.06333352490690579,3024499
481,481,3024472,407 West 50th Street #1,"['40.76392391,-73.98940129']",1967,1.0,1.0,0.0,40.76392391,-73.98940129,Apartment,25,21,381,149,0,504,0.7788303432167731,1.392677202232924,1.3863283481442483,0.9699905094427481,-0.7653006892653381,0.6048412954517822,3024472
482,482,2961296,222 East 44th Street #RESB,"['40.75130081,-73.97290039']",9050,1.0,1.0,0.0,40.75130081,-73.97290039,Apartment,15,6,90,156,5,408,-0.1690775727865497,-0.3731670964053181,-0.6608377316152386,1.0769519805302121,-0.02498461934718122,0.05763344311169657,2961296
483,483,2944939,170 Amsterdam Avenue #2C,"['40.77619934,-73.98269653']",3476,0.0,1.0,539.0,40.77619934,-73.98269653,Apartment,13,4,86,71,7,576,-0.35865915598721426,-0.608613002890417,-0.688977471543204,-0.22186588267470914,0.2711418086200815,1.0152471847068465,2944939
484,484,3022610,330 East 43rd Street #305,"['40.74981269,-73.97070093']",5100,3.0,2.0,1.0,40.74981269,-73.97070093,Apartment,11,2,99,60,0,387,-0.5482407391878789,-0.844058909375516,-0.5975233167773163,-0.3899481943835813,-0.7653006892653381,-0.06206827458769716,3022610
