,Method of Operation,Premise Name,Premise Address,Premise City
3233,SPORTS BAR SERVING BEER CIDER WINE & LIQUOR,R & J LOUNGE CORP,109 E 116TH ST 2ND FL,NEW YORK
3237,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,CIRCLE LINE SIGHTSEEING YACHTS INC WORLD YACHT INC,PIER 83 WEST 42ND ST,NEW YORK
3239,BAR/TAVERN LIQUOR WINE BEER CIDER ,AJACCIO INC,40 AVENUE C,NEW YORK
3257,"TAVERN SERVING BEER WINE CIDER AND LIQUOR, CIDER",TLS CHRYSTIE LLC,131 CHRYSTIE ST BASEMENT STORE,NEW YORK
3258,"CLUB TAVERN - RESTAURANT SERVING LIQUOR, WINE, CIDER AND BEER",SOCIETY OF ILLUSTRATORS INC,128 E 63RD STREET,NEW YORK
3262,TAVERN RESTAURANT SERVING CIDER LIQUOR WINE BEER,118 REST ON NASSAU INC,118 NASSAU ST,NEW YORK
3271,BAR/TAVERN SERVING BEER WINE CIDER & LIQUOR ,SPIN NYC E54 LLC,7 E 54TH ST,NEW YORK
3274,RESTAURANT TAVERN SERVING BEER WINE CIDER AND LIQUOR,112 DYCKMAN RESTAURANT INC,112 DYCKMAN STREET,NEW YORK 
3276,"BAR/TAVERN SERVING BEER, CIDER, AND WINE","GRANDDADDY LLC, THE",290 GRAND ST,NEW YORK
3279,"BAR/TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT ,138 W 48TH ST,NEW YORK
3285,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",LINCOLN CENTER FOR THE PERFORMING ARTS INC,61 W 62ND ST,NEW YORK
3287,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",123 WEST 45TH REST CORP,123 W 45TH ST,NEW YORK
3292,"TAVERN SERVING WINE, BEER & CIDER",BREAD OF LINCOLN LLC,1890 BROADWAY,NEW YORK
3297,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",MJD BAR VENTURES I LLC,197 2ND AVE,NEW YORK
3301,BAR/TAVERN SERVING LIQUOR BEER AND WINE CIDER,YARDBIRD LLC,162 AVENUE B,NEW YORK
3311,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",121 W 45TH ST RESTAURANT CORP,121 W 45TH ST,NEW YORK
3322,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER.",VISSIDARTE COMPANY LLC,2376 ADAM CLAYTON POWELL JR BL,NEW YORK
3324,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",LIBERTY REST LLC,110 CHAMBERS STREET,NEW YORK
3327,"BAR TAVERN SERVING BEER, WINE, & CIDER",CASK AND CAVE INC ,94 ORCHARD ST ,NEW YORK
3330,"RESTAURANT/NIGHTCLUB SERVING LIQUOR, WINE, BEER, & CIDER",JACARANDA CLUB LLC,333 E 60TH ST,NEW YORK
3343,TAVERN SERVING BEER CIDER AND WINE,DEGEEST LLC     ,15 AVENUE B,NEW YORK
3345,"TAVERN SERVING BEER, WINE & CIDER",552 FRAME INC,552 7TH AVE ,NEW YORK
3350,"CLUB - TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",DOWN TOWN ASSOCIATION,60 62 64 PINE STREET,NEW YORK
3351,"TAVERN-RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",BMB CORP,992 996 AMSTERDAM AVENUE,NEW YORK
3353,"TAVERN/RESTAURANT SERVING LIQUOR, WINE, AND BEER CIDER",NEW YORK PUBS INC,11 E 36TH ST,NEW YORK
3367,BAR/TAVERN SERVING BEER CIDER AND WINE ONLY,ROSE PIZZA 7TH AVE INC,1 PENN PLAZA,NEW YORK
3369,"BAR/TAVERN SERVING LIQUOR, BEER, WINE, & CIDER",NYMA ROOFTOP INC,6 W 32ND ST,NEW YORK
3372,"BAR / TAVERN SERING LIQUOR, WINE, BEER & CIDER",BHL BREWING COMPANY LLC,2268 ADAM CLAYTON POWELL JR BL,NEW YORK
3385,TAVERN SERVING BEER WINE CIDER AND LIQUOR,KARIN CO CO INC,139 E 45TH STREET  2ND FL,NEW YORK
3393,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",SWIGGS 2ND AVENUE INC,393 2ND AVENUE,NEW YORK
3401,"RESTAURANT/BAR SERVING LIQUOR, WINE, CIDER, & BEER",WHILE WE WERE YOUNG LLC,183 W 10TH ST,NEW YORK
3411,TAVERN SERVING BEER CIDER AND WINE,HEARTH RESTAURANT INVESTORS LLC  ,15TH ST PORCH THE HIGH LINE,NEW YORK
3415,"CLUB - TAVERN SERVING LIQUOR, WINE, CIDER AND BEER","LEASH,THE",41 E 63RD STREET,NEW YORK
3418,"TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",H O C WINE INC,53 IRVING PLACE,NEW YORK 
3422,"TAVERN/COFFEE SHOP SERVING WINE, BEER AND CIDER",GIZONA CORPORATION,1 W 8TH ST,NEW YORK
3426,TAVERN SERVING BEER CIDER WINE AND LIQUOR,OTFOTEOC LTD,21 ESSEX ST,NEW YORK
3431,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",E116TH STREET COCKTAIL GROUP LLC,332 E 116TH ST,NEW YORK
3434,TAVERN SERVING BEER CIDER WINE AND LIQUOR,"106 NORFOLK RESTAURANT, INC.",106 NORFOLK ST - SOUTH STORE,NEW YORK
3436,TAVERN RESTAURANT SERVING BEER CIDER WINE & LIQUOR,HAKUBAI INC,42 E 38TH STREET,NEW YORK
3443,TAVERN SERVING BEER CIDER WINE AND LIQUOR,174 GRAND STREET CORP,174 GRAND STREET,NEW YORK
3444,"BAR SERVING LIQUOR, WINE, CIDER AND BEER",71 WORTH LLC,734 10TH AVE,NEW YORK
3446,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR ,COLUMBUS CITIZENS HOUSE INC,8 E 69TH STREET,NEW YORK
3453,"TAVERN/CAFE BAKERY SERVING WINE, BEER AND CIDER",RECOLTE LLC,300 AMSTERDAM AVE,NEW YORK
3454,"BAR/TAVERN SERVING BEER, CIDER WINE AND LIQUOR",60TH STREET LLC,311 E 60TH ST,NEW YORK
3457,BAR/TAVERN SERVING BEER CIDER AND WINE ,13 SULLIVAN GENTS LLC ,142 SULLIVAN ST,NEW YORK 
3463,"TAVERN/CAFE SERVING WINE, BEER AND CIDER",CAFE BUUNNI BROADWAY INC,4961 BROADWAY,NEW YORK
3465,"BAR TAVERN SERVING BEER, WINE, CIDER, AND LIQUOR",AZ HOLDING CORPORATION,225 10TH AVE,NEW YORK
3467,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,COPAT RESTAURANT INC,120 CEDAR ST,NEW YORK
3472,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,POST HOUSE INVESTORS LP,28 E 63RD STREET,NEW YORK
3481,BAR SERVING LIQUOR WINE CIDER & BEER,MCCBREN CORP,237 SULLIVAN STREET,NEW YORK
3484,TAVERN SERVING BEER WINE CIDER AND LIQUOR,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT,239 W 45TH STREET,NEW YORK
3486,BUTCHER/GROCERY STORE AND SAUSAGE BAR SERVING WINE CIDER AND BEER,SCHALLER MANUFACTURING CORP,1654 2ND AVE,NEW YORK
3487,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,8TH ST WINE CELLAR NYC CORP,28 W 8TH STREET,NEW YORK
3501,"BAR/TAVERN SERVING BEER, WINE, CIDER, AND LIQUOR","75 CLUB LLC, THE",75 MURRAY ST,NEW YORK
3502,NIGHTCLUB SERVING BEER WINE CIDER AND LIQUOR,SILK CORP,552 W 38TH STREET,NEW YORK
3505,"TAVERN SERVING WINE, BEER AND CIDER",OLD COUNTRY COFFEE INC,455 W 34TH ST,NEW YORK
3518,"BAR/TAVERN SERVING WINE, BEER AND CIDER",ANGEL NYC INC,124 MACDOUGAL ST,NEW YORK
3521,"BAR/TAVERN SELLING WINE, BEER, AND CIDER",BAR 21 LTD ,218 8TH AVE,NEW YORK 
3522,TAVERN SERVING LIQUOR WINE BEER AND CIDER,MAB BAR INC,1742 2ND AVE,NEW YORK
3523,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",FIVE AND DIME HOSPITALITY LLC,8 PARK PL,NEW YORK
3535,TAVERN SERVING LIQUOR WINE CIDER & BEER,AMITY STREET INC,80 W 3RD ST,NEW YORK
3537,"TAVERN RESTAURANT SERVING BEER, CIDER WINE & LIQUOR",CMR COMEDY LLC,208 W 23RD ST STORE #1,NEW YORK
3549,TAVERN WITH ART CLASSES AND PAINTING SERVING WINE CIDER AND BEER,MUSE TRIBECA LLC ,329 GREENWICH ST ,NEW YORK 
3576,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,GOTHAM YARD CORP,1359 1ST AVE,NEW YORK
3588,"BAR SERVING LIQUOR, WINE, BEER & CIDER",TRUMMER ART HOLDINGS LLC,324 GRAND ST,NEW YORK
3602,TAVERN SERVING BEER CIDER WINE AND LIQUOR,BARROW TAVERN INC,5009 BROADWAY ,NEW YORK
3603,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",SHADWICK INC,700 2ND AVENUE,NEW YORK
3610,"TAVERN WINE SERVING WINE, BEER & CIDER",FT 328 LLC,328 W 12TH ST ,NEW YORK
3621,TAVERN SERVING BEER CIDER WINE AND LIQUOR ,REBA REALTY CORP,16 N MOORE ST,NEW YORK
3625,"BAR/TAVERN SERVING BEER, CIDER, WINE & LIQUOR",INWOOD BEER GARDEN & BISTRO INC,4892 BROADWAY,NEW YORK
3628,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR,LANDMARK TAVERN LLC,626 11TH AVE,NEW YORK
3633,TAVERN SERVING BEER CIDER WINE AND LIQUOR,PRESERVE MILANOS INC,51 E HOUSTON ST,NEW YORK
3650,"BAR/TAVERN - LIVE THEATER CONCESSION STAND SERVING LIQUOR, WINE, CIDER, AND BEER",SWEET HOSPITALITY GROUP,336 W 20TH ST,NEW YORK
3659,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,JLLN TAVERN LLC,46 GREENWICH AVENUE 2ND FL,NEW YORK
3665,TAVERN SERVING BEER CIDER WINE AND LIQUOR,CMSG RESTAURANT GROUP LLC,639 641 W 51ST STREET,NEW YORK
3669,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",NY 36TH ST MGR V LLC NY 36TH ST OPERATING V LLC NY,338 W 36TH ST,NEW YORK
3683,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",1647 SECOND AVE CORP,1647 2ND AVE,NEW YORK
3685,TAVERN SERVING LIQUOR WINE CIDER AND BEER,W LLC,233 BROADWAY,NEW YORK
3692,"TAVERN SERVING BEER, WINE AND CIDER",THREE LITER NEW YORK LLC,100 W 33RD ST,NEW YORK
3702,"RESTAURANT-BAR-TAVERN SERVING LIQUOR, WINE, CIDER, AND BEER",DLP GROUP LLC,132 9TH AVE,NEW YORK
3714,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,BECAF LLC,29 AVENUE B A/K/A 33 AVE #3,NEW YORK
3738,"TAVERN SERVING BEER, WINE, CIDER & LIQUOR",ELDRIDGE BISTRO LLC,700 E 9TH ST,NEW YORK
3739,BAR/TAVERN SERVING WINE CIDER AND BEER,MACARON LLC,152 W 36TH ST,NEW YORK
3741,TAVERN SERVING LIQUOR WINE CIDER AND BEER,J C B REST INC,103 W 72ND STREET,NEW YORK
3752,"PRIVATE CLUB SERVING LIQUOR, WINE, BEER AND CIDER",WSNYC INC ,560 W 33RD ST ,NEW YORK 
3758,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,S L P MANAGEMENT INC,182 W 4TH STREET,NEW YORK
3770,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,JOC CORP,106 E 19TH ST,NEW YORK
3772,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,1465 CDM INCORPORATED,126 1ST AVENUE,NEW YORK
3782,TAVERN SERVING LIQUOR WINE CIDER AND BEER,SAMS 2ND AVENUE ALE  HOUSE INC,540 2ND AVENUE,NEW YORK
3783,"TAVERN SERVING LIQUOR, WINE, BEER & CIDER      ",SIREN RETAIL CORPORATION,1 7TH AVE ,NEW YORK
3784,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,177 CHRYSTIE INC,145 AVENUE C,NEW YORK
3799,TAVERN SERVING BEER CIDER AND WINE,NUBLU LLC,62 AVENUE C,NEW YORK
3801,TAVERN SERVING WINE CIDER  AND BEER,OHMYGOSHCOFFEE LTD,555 W 42ND ST,NEW YORK
3805,CLUB SERVING LIQUOR WINE & BEER CIDER,FIFTEEN CENTRAL PARK WEST CLUB INC,15 CENTRAL PARK WEST,NEW YORK
3808,BAR/TAVERN SERVING BEER CIDER AND WINE,OAXACA AMSTERDAM LLC,424 AMSTERDAM AVE,NEW YORK
3810,TAVERN SERVING BEER CIDER WINE AND LIQUOR,71 WEST 55TH RESTAURANT CORP,1370 AVE OF THE AMERICAS ,NEW YORK
3825,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",ANGELIKA FILM CENTERS LLC,18 W HOUSTON ST,NEW YORK
3831,"BAR/TAVERN SERVING BEER, WINE, LIQUOR & CIDER",TASZO COFFEE LLC,5 EDWARD MORGAN PL,NEW YORK
3844,"BAR/TAVERN SERVING BEER, CIDER,LIQUOR, AND WINE ",HACHOI CORPORATION,431 7TH AVE,NEW YORK
3846,"TAVERN WITH VIRTUAL REALITY EXPERIENCE CENTER SERVING LIQUOR, WINE, BEER AND CIDER",VR WORLDBAR LLC,10 E 34TH ST,NEW YORK
3851,TAVERN SERVING BEER AND CIDER,POST BILLIARDS CAFE INC,154 POST AVENUE,NEW YORK
3853,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER ","NEW YORK PUBLIC LIBRARY, THE",5TH AVE & 42ND ST,NEW YORK
3877,CLUB SERVING WINE AND BEER CIDER,MEMORIAL SLOAN KETTERING CANCER CENTER,417 E 68TH ST,NEW YORK
3880,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,245 WEST 14TH STREET TAVERN CORP,250 W 14TH ST,NEW YORK
3885,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,ALTA JOLI RESTAURANT INC,973 AMSTERDAM AVENUE,NEW YORK
3886,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",TONYKK LLC,26 VANDERBILT AVE,NEW YORK
3888,BAR/TAVERN SERVING BEER CIDER WINE AND LIQUOR,ROSIERAE'S INC,500 W 43RD ST,NEW YORK
3894,SUSHI BAR/TAVERN SERVING BEER WINE AND CIDER,SUSHI ON WEST 10TH LLC,210 W 10TH ST,NEW YORK
3904,TAVERN SERVING LIQUOR WINE CIDER AND BEER,GRIFFIS FACULTY CLUB INC,521 E 68TH STREET,NEW YORK
3906,"TAVERN WITH BILLIARD SERVING WINE, BEER AND CIDER",RINCONCITO BILLARD CLUB INC,1846 AMSTERDAM AVE,NEW YORK 
3928,"CLUB MEMBERS ONLY SERVING LIQUOR, WINE, BEER AND CIDER",SAINT ANDREW'S SOCIETY OF THE STATE OF NEW YORK,150 E 55TH ST ,NEW YORK
3929,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,TWENTY ONES INC,1115 17 BROADWAY ,NEW YORK
3930,TAVERN SERVING BEER WINE CIDER AND LIQUOR,DES RESTAURANT ASSOCIATES INC,353 LEXINGTON AVENUE,NEW YORK
3933,TAVERN SERVING BEER CIDER WINE AND LIQUOR,LILLY COOGANS INC,360 WEST 23RD ST,NEW YORK
3975,TAVERN SERVING LIQUOR WINE CIDER AND BEER,202 WEST 49TH PUB INC,202 W 49TH STREET,NEW YORK
3982,TAVERN SERVING BEER CIDER WINE  AND LIQUOR,METROPOLITAN TALENT PRESENTS LLC,2 W 64TH STREET,NEW YORK
3985,"BAR/TAVERN SERVING BEER, CIDER, WINE & LIQUOR",FAIRYTALES LOUNGE 2 CORP,500 W 48TH STREET,NEW YORK
3991,"TAVERN/BAR SERVING WINE, BEER AND CIDER     ",TEAMWORKON3 LLC,2007 LEXINGTON AVE,NEW YORK
3993,BAR/TAVERN SERVING LIQUOR BEER CIDER AND WINE,ANALOGUE LLC,19 W 8TH ST,NEW YORK
3997,TAVERN SERVING BEER CIDER AND WINE,8617 NORTHERN BLVD CORP,199 LAFAYETTE ST STORE H,NEW YORK
4000,TAVERN SERVING LIQUOR WINE CIDER AND BEER,KINSALE ROAD INC,370 WEST 46TH STREET,NEW YORK
4014,TAVERN SERVING BEER CIDER WINE AND LIQUOR,FRIDA & DIEGO CORP,211 AVENUE A ,NEW YORK
4018,TAVERN SERVING BEER CIDER WINE AND LIQUOR,LAURENCE T GINSBERG &,239 W 52ND STREET,NEW YORK
4031,"BAR/TAVERN SERVING BEER, WINE AND LIQUOR",929 COLUMBUS AVENUE LLC,929 COLUMBUS AVE,NEW YORK
4032,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,JAYARVEE INC,315 W 44TH STREET,NEW YORK
4035,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",GG CAMPBELL LLC,15 VANDERBILT AVE,NEW YORK
4045,"BAR/RESTAURANT SERVING BEER, WINE, CIDER & LIQUOR",NEW YORK BEER CO LLC,509 AMSTERDAM AVE,NEW YORK
4047,"BAR/TAVERN SERVING WINE, BEER & CIDER.",HEIDI'S HOUSE LLC,308 E 78TH ST - STORE#3,NEW YORK
4048,"BAR/TAVERN SERVING BEER, CIDER, AND WINE",CITY DIY WORKSHOP LLC,232 3RD AVE ,NEW YORK
4053,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,MASA NY LLC,10 COLUMBUS CIRCLE ,NEW YORK
4059,"TAVERN SERVING BEER, CIDER WINE AND LIQUOR",FLOR DE MAR INC,484 AMSTERDAM AVENUE,NEW YORK
4064,"TAVERN SERVING BEER, CIDER & WINE ",LENOX COFFEE LLC,60 W 129TH ST,NEW YORK
4070,"CLUB LIQUOR : SERVING BEER, CIDER, WINE AND LIQUOR ","ANGLERS CLUB OF NEW YORK, THE",101 BROAD ST FL 2,NEW YORK
4083,TAVERN SERVING BEER WINE CIDER AND LIQUOR,NEW YORK PUBLIC LIBRARY,5TH AVE & 42ND STREET,NEW YORK
4091,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,"JEC II LLC, BAGATELLE LITTLE WEST 12TH LLC, ",2 8 9TH AVE ,NEW YORK
4101,HOTEL TAVERN RESTAURANT SERVING BEER CIDER WINE & LIQUOR,STANFORD NEW YORK LLC,43 WEST 32ND STREET,NEW YORK
4102,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER      ",LONDEL DAVIS LLC,2131 FREDERICK DOUGLASS BLVD,NEW YORK
4106,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,CHELSEA CORPORATE EVENTS LLC,545 W 25TH ST FLOOR 14 & 21,NEW YORK
4109,TAVERN SERVING BEER CIDER AND WINE ONLY,GVI BROADWAY LLC,1140 BROADWAY,NEW YORK
4118,TAVERN SERVING BEER CIDER WINE AND LIQUOR,589 11TH TAVERN INC,589 11TH AVE,NEW YORK
4136,TAVERN SERVING BEER CIDER &WINE,COZY CAFE CORP,43 EAST 1ST STREET,NEW YORK
4147,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SWAT PRODUCTION INC,59 CANAL ST 2ND FL,NEW YORK
4152,HOTEL TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,45TH STREET HOTEL LLC AND NEW MOON 45 CORP        ,132 W 45TH STREET,NEW YORK
4160,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER ",DSA PHASE 1 BEER HALL LLC,115 DELANCEY ST,NEW YORK
4171,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",FASHIONED HOSPITALITY LLC,121 E 27TH ST,NEW YORK
4178,RESTAURANT BAR/TAVERN SERVING BEER WINE CIDER AND LIQUOR,144 WEST 46TH STREET LLC,144 W 46TH ST,NEW YORK
4180,TAVERN SERVING BEER CIDER WINE AND LIQUOR,BLEECKER STREET BAR CORP,58 BLEECKER ST,NEW YORK
4181,"TAVERN RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",IW COLUMBUS CENTRE LLC/MANDARIN ,80 COLUMBUS CIRCLE AT 60TH ST,NEW YORK
4183,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER ","NEW YORK PUBLIC LIBRARY, THE",5TH AVE & 42ND ST,NEW YORK
4198,"PRIVATE CLUB SERVING LIQUOR, WINE, BEER AND CIDER",1700 BROADWAY CLUB INC,1700 BROADWAY ,NEW YORK
4200,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,COPEL 2007 INC,39 E 19TH ST,NEW YORK
4207," BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",BL 902 BROADWAY NY LLC,902 BROADWAY,NEW YORK
4210,HOTEL TAVERN SERVING LIQUOR WINE CIDER AND BEER,FRANKLIN NYC LLC,164 E 87TH STREET,NEW YORK
4211,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,CENTRAL FILING CLUB LTD,1285 AVENUE OF THE AMERICAS,NEW YORK
4215,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER",SEASIDE BEACH INC,171 173 AVE C,NEW YORK
4221,BAR TAVERN LIQUOR WINE BEER AND CIDER,JINX PROOF II LLC,231 E 14TH ST,NEW YORK 
4222,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,TTBK INC,188 SUFFOLK ST,NEW YORK
4225,HOTEL TAVERN SERVING BEER CIDER WINE AND LIQUOR,ELYSEE MANAGEMENT INC,60 E 54TH ST,NEW YORK
4247,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,35 CANAL CAFE LLC,35 CANAL STREET,NEW YORK
4254,BAR/TAVERN SERVING BEER CIDER WINE & LIQUOR,XLR8 LLC,266 BROOME ST,NEW YORK
4269,TAVERN SERVING BEER WINE CIDER AND LIQUOR,BAR 13 INC,35 E 13TH ST,NEW YORK
4278,BAR/TAVERN SERVING BEER CIDER WINE AND LIQUOR,BLADES ON 34TH STREET LLC,58 E 34TH ST,NEW YORK
4279,BAR/TAVERN SERVING BEER CIDER LIQUOR & WINE ,MKT GROUP LLC,75 9TH AVENUE,NEW YORK
4289,TAVERN SERVING LIQUOR WINE CIDER AND BEER,"PROLETARIAT V, INC",98 102 NORFOLK AKA 138 DELANCY,NEW YORK
4296,TAVERN SERVING BEER CIDER WINE & LIQUOR,BLUE & GOLD BAR INC,79 E 7TH STREET,NEW YORK
4298,TAVERN SERVING BEER CIDER WINE AND LIQUOR,JAC RESTAURANT CORP,75 16 ROOSEVELT AVENUE,JACKSON HEIGHTS
4316,"BAR/TAVERN SERVING BEER, WINE AND CIDER",CAFE KITSUNE INC & CK HUDSON LLC,550 HUDSON ST,NEW YORK
4318,CLUB RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,NEW YORK UNIVERSITY,18 WAVERLY PLACE,NEW YORK
4339,"HOTEL TAVERN RESTAURANT SERVING CIDER BEER, CIDER WINE AND LIQUOR",CDL WEST 45TH STREET LLC & M&C HOTEL INTERESTS INC,136 150 W 45TH STREET,NEW YORK
4341,"KARAOKE BAR SERVING LIQUOR, WINE, BEER AND CIDER     ",36 DUET ENTERTAINMENT INC,65 W 36TH ST,NEW YORK
4345,TAVERN SERVING BEER CIDER WINE AND LIQUOR,PROSCENIUM PARTNERS INC,158 W 72ND STREET,NEW YORK
4346,TAVERN SERVING BEER CIDER WINE AND LIQUOR,224 AVENUE B INC,224 AVENUE B,NEW YORK
4349,TAVERN SERVING LIQUOR WINE CIDER AND BEER,PATAIDEN FOOD & DRINK INC,237 3RD AVENUE,NEW YORK
4352,BAR/TAVERN SERVING BEER CIDER AND WINE ONLY,BE BAMBA GROUP LLC,265 W 20TH ST,NEW YORK
4357,TAVERN SERVING BEER CIDER WINE AND LIQUOR,K H T ENTERPRISES INC,222 EAST 14TH STREET,NEW YORK
4364,NIGHT CLUB SERVING LIQUOR WINE BEER AND CIDER,28 BSJ LLC,229 W 28TH ST,NEW YORK
4371,TAVERN SERVING BEER WINE CIDER AND LIQUOR,"OTHEROOM INC,THE",143 PERRY ST,NEW YORK
4373,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",ST HELIER TAVERN LLC,285 W BROADWAY,NEW YORK
4374,"BAR/TAVERN SERVING BEER, WINE, CIDER AND LIQUOR",12 E 36TH ST LLC ,12 E 36TH ST ,NEW YORK 
4390,"BAR/TAVERN SERVING LIQUOR, WINE, CIDER AND BEER",EMERALD INN INC,250 W 72ND ST,NEW YORK
4415,TAVERN SERVING BEER CIDER WINE AND LIQUOR,E D & S RESTAURANT CORP,657 659 LENOX AVENUE,NEW YORK
4417,"HOTEL TAVERN RESTAURANT SERVING BEER, CIDER WINE AND LIQUOR",CDL NEW YORK LLC,55 CHURCH ST,NEW YORK
4424,TAVERN/KIOSK WITHIN CHELSEA MARKET SERVING WINE CIDER AND BEER,BCW NYC CHELSEA MARKET LLC,75 9TH AVE ,NEW YORK
4425,"TAVERN RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",NEW YORK UNIVERSITY,40 WASHINGTON SQUARE SOUTH,NEW YORK
4439,TAVERN SERVING BEER CIDER WINE AND LIQUOR,59 MURRAY ENTERPRISES INC,59 MURRAY STREET,NEW YORK
4451,"BAR/TAVERN SERVING BEER, CIDER, WINE & LIQUOR",TANNADICE LLC,998 AMSTERDAM AVE,NEW YORK
4454,BAR/TAVERN/CAFE SERVING BEER CIDER & WINE ONLY,SUGAR HILL CAFE INC,410 W 145TH ST ,NEW YORK
4458,"BAR/TAVERN SERVING LIQUOR, WINE, BEER & CIDER",EPSTEINS BAR LLC,82 STANTON ST,NEW YORK
4464,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",TATU LLC,151 AVENUE C,NEW YORK
4473,TAVERN SERVING BEER CIDER AND WINE ONLY,PAINTING LOUNGE LLC,37 43 W 14TH ST,NEW YORK
4476,TAVERN SERVING BEER WINE CIDER & LIQUOR,21 BAR CORP,4318 BROADWAY,NEW YORK
4488,"CLUB (MEMBERS ONLY) SERVING LIQUOR, WINE, BEER AND CIDER",100 CHURCH STREET CLUB INC,100 CHURCH ST,NEW YORK
4492,TAVERN SERVING LIQUOR WINE CIDER & BEER,HALF PINT ON THOMPSON LLC,234 THOMPSON ST AKA 76 W 3RD S,NEW YORK
4506,TAVERN SERVING BEER CIDER WINE AND LIQUOR,9TH STREET VENTURE LTD,232 E 9TH STREET,NEW YORK
4509,TAVERN SERVING BEER CIDER WINE AND LIQUOR,CARIBE SOCIAL ATHLETIC INC,339 E 115TH STREET  2ND FLOOR,NEW YORK
4526,"BAR/TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",AVADOM INC,147 W 24TH ST,NEW YORK
4530,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",SCOOBS 359 INC,359 W 54TH ST,NEW YORK
4537,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,UNCLE JACK S STEAKHOUSE INC,440 9TH AVENUE,NEW YORK
4538,TAVERN SERVING BEER CIDER WINE AND LIQUOR,SANDBAR CONCESSION INC,256 W 47TH STREET,NEW YORK
4539,"BAR/TAVERN SERVING BEER, WINE, LIQUOR AND CIDER",EQUINOX HUDSON YARDS F&B LLC & BC HUDSON YARDS LLC,560 W 33RD ST,NEW YORK
