,Method of Operation,Premise Name,Premise Address,Premise City
963,TAVERN RESTAURANT SERVING BEER WINE LIQUOR & CIDER,3 EAST 48TH RESTAURANT INC,3 E 48TH STREET,NEW YORK
970,"TAVERN RESTAURANT SERVING BEER, WINE, LIQUOR, & CIDER",OWLINGS INC,152 LUDLOW STREET,NEW YORK
973,BAR/TAVERN SERVING LIQUOR WINE BEER AND CIDER,NP NIGHTLIFE LLC,557 3RD AVE,NEW YORK
977,TAVERN RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,4199 CRYSTAL II RESTAURANT CORP,597 W 207TH ST,NEW YORK
980,"TAVERN/CAFE SERVING WINE, BEER AND CIDER",TBH COFFEE HOLDCO LLC,450 PARK AVE S,NEW YORK
989,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER     ",AC WEIRTON 137 LLC,3898 BROADWAY,NEW YORK
992,TAVERN RESTAURANT SERVING BEER WINE CIDER AND LIQUOR,267 MADISON PUB INC,267 MADISON AVENUE,NEW YORK
1000,CLUB SERVING BEER WINE AND LIQUOR CIDER,FRIARS NATIONAL ASSOCIATION INC,57 E 55TH STREET,NEW YORK
1008,"BAR/TAVERN WINE SERVING WINE, BEER AND CIDER",LSMC LLC,151 MOTT ST,NEW YORK
1015,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,J V SUCCESSORS INC,842 2ND AVE,NEW YORK
1016,TAVERN RESTAURANT SERVING BEER WINE AND LIQUOR CIDER,79 RESTAURANT GROUP INC,79 BAXTER ST,NEW YORK
1030,BAR/TAVERN SERVING BEER CIDER WINE & LIQUOR,CORCHO CORP,227 DYCKMAN ST ,NEW YORK
1031,"BAR SERVING LIQUOR, WINE, BEER & CIDER",TOWN STAGES LLC,221 W BROADWAY,NEW YORK
